Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
KLM,IST,NRT,20h 45m,2 stops,business,17:00,19:45+1,"AED 12,790",2024-06-28
EVA Air,NRT,LAX,22h 30m,1 stop,economy,14:25,20:55,"AED 3,280",2024-06-26
Air Algerie,PAR,IST,8h 20m,1 stop,business,18:00,03:20+1,"AED 4,105 ",2024-06-08 
Aegean Airlines,IST,PAR,7h 35m,1 stop,business,10:40,17:15,"AED 2,920",2024-07-07
Turkish Airlines,PAR,IST,3h 40m,direct,business,16:05,20:45,"AED 3,970 ",2024-05-29 
Qatar Airways,NRT,IST,19h 15m,1 stop,economy,22:30,11:45+1,"AED 2,270 ",2024-05-29 
Lufthansa,IST,LAX,16h 50m,1 stop,economy,06:10,13:00,"AED 2,554 ",2024-06-03 
Aer Lingus,LAX,PAR,15h 55m,1 stop,business,20:15,21:10+1,"AED 15,267 ",2024-05-29 
Austrian Airlines,PAR,LAX,15h 00m,1 stop,business,07:05,13:05,"AED 20,540 ",2024-06-12 
British Airways,IST,PAR,7h 50m,1 stop,business,14:40,21:30,"AED 1,940 ",2024-06-07 
Iberia,CMN,PAR,10h 00m,1 stop,business,12:45,23:45,"AED 1,480 ",2024-06-16 
China Eastern,PAR,NRT,19h 30m,1 stop,economy,13:25,15:55+1,"AED 2,911 ",2024-06-15 
Turkish Airlines,IST,NRT,11h 05m,direct,economy,15:50,08:55+1,"AED 3,540",2024-05-31
TAP Portugal,PAR,CMN,28h 35m,1 stop,economy,07:00,10:35+1,AED 750,2024-06-29
TAP Portugal,CMN,PAR,4h 50m,1 stop,economy,17:10,23:00,AED 881,2024-06-01
Delta,LAX,CMN,15h 30m,1 stop,business,15:20,14:50+1,"AED 15,592 ",2024-06-03 
Air France,NRT,CMN,31h 00m,1 stop,business,11:15,10:15+1,"AED 15,216",2024-07-06
Royal Air Maroc,CMN,PAR,2h 50m,direct,economy,14:15,18:05,AED 602,2024-07-06
Air France,CMN,LAX,16h 15m,1 stop,economy,10:20,18:35,"AED 6,030 ",2024-06-18 
Transavia France,PAR,IST,3h 50m,direct,economy,19:15,00:05+1,"AED 1,001",2024-07-08
Multiple Airlines,LAX,IST,26h 20m,2 stops,business,09:00,21:20+1,"AED 9,090",2024-07-07
Qatar Airways,NRT,CMN,41h 00m,1 stop,business,22:30,07:30+2,"AED 15,100 ",2024-06-21 
Transavia France,IST,CMN,31h 00m,2 stops,economy,11:20,16:20+1,AED 958,2024-06-30
Turkish Airlines,CMN,NRT,38h 40m,1 stop,business,10:15,08:55+2,"AED 10,100 ",2024-05-29 
Asiana Airlines,NRT,IST,30h 10m,1 stop,business,16:00,16:10+1,"AED 5,520",2024-07-07
TAP Portugal,PAR,CMN,5h 25m,1 stop,economy,11:55,16:20,AED 806,2024-06-10
Turkish Airlines,IST,PAR,3h 45m,direct,business,12:25,15:10,"AED 7,687 ",2024-06-15 
Korean Air,NRT,IST,16h 20m,1 stop,business,09:20,19:40,"AED 12,568 ",2024-06-05 
Turkish Airlines,NRT,IST,13h 10m,direct,economy,10:35,17:45,"AED 2,890 ",2024-06-23 
Egypt Air,NRT,PAR,31h 35m,1 stop,business,20:30,21:05+1,"AED 10,294 ",2024-06-23 
Air Canada,LAX,NRT,26h 05m,1 stop,business,20:45,14:50+2,"AED 11,930 ",2024-06-09 
Qatar Airways,NRT,CMN,41h 00m,1 stop,business,22:30,07:30+2,"AED 7,980 ",2024-06-17 
United Airlines,IST,LAX,19h 25m,1 stop,business,07:50,17:15,"AED 7,990 ",2024-06-16 
Turkish Airlines,IST,NRT,20h 35m,2 stops,economy,17:10,19:45+1,"AED 4,450",2024-07-03
Cathay Pacific,LAX,NRT,22h 50m,1 stop,economy,01:15,16:05+1,"AED 4,600",2024-06-27
Qatar Airways,NRT,CMN,28h 50m,2 stops,business,10:40,07:30+1,"AED 12,830 ",2024-06-18 
Cathay Pacific,PAR,NRT,21h 00m,1 stop,economy,12:05,16:05+1,"AED 3,700",2024-07-04
Delta,PAR,LAX,11h 35m,direct,business,13:30,16:05,"AED 20,249",2024-07-06
Lufthansa,IST,PAR,8h 35m,2 stops,business,06:10,13:45,"AED 6,760 ",2024-05-29 
Etihad Airways,NRT,IST,29h 20m,2 stops,business,14:00,13:20+1,"AED 9,415",2024-07-08
Air France,PAR,CMN,3h 05m,direct,business,15:15,17:20,"AED 3,269 ",2024-06-13 
Qatar Airways,IST,LAX,21h 20m,1 stop,economy,20:05,07:25+1,"AED 1,987 ",2024-06-03 
Delta,LAX,CMN,19h 15m,2 stops,business,06:00,09:15+1,"AED 15,609 ",2024-06-22 
Air France,PAR,CMN,3h 05m,direct,business,07:10,09:15,"AED 3,551 ",2024-06-04 
Air France,PAR,CMN,3h 05m,direct,business,15:15,17:20,"AED 3,551 ",2024-06-04 
Iberia,PAR,CMN,5h 35m,1 stop,business,12:40,17:15,"AED 2,380 ",2024-06-23 
Turkish Airlines,CMN,NRT,32h 10m,1 stop,economy,16:45,08:55+2,"AED 4,240",2024-06-28
Turkish Airlines,LAX,IST,13h 10m,direct,business,13:35,12:45+1,"AED 17,731 ",2024-06-15 
Alaska Airlines,LAX,NRT,15h 40m,1 stop,business,08:50,16:30+1,"AED 11,800",2024-07-05
Turkish Airlines,CMN,IST,4h 25m,direct,economy,10:15,16:40,"AED 2,178 ",2024-06-07 
Alaska Airlines,LAX,NRT,16h 30m,1 stop,business,07:00,15:30+1,"AED 16,350 ",2024-06-11 
Qatar Airways,NRT,PAR,29h 25m,1 stop,business,22:30,20:55+1,"AED 10,940 ",2024-06-16 
Vueling,PAR,IST,6h 45m,1 stop,economy,11:50,19:35,AED 990,2024-06-17
American Airlines,LAX,NRT,17h 00m,1 stop,business,06:00,15:00+1,"AED 13,640 ",2024-06-24 
Qatar Airways,NRT,CMN,30h 15m,2 stops,economy,09:15,07:30+1,"AED 4,250 ",2024-06-24 
Aer Lingus,LAX,PAR,15h 55m,1 stop,business,20:15,21:10+1,"AED 13,328",2024-06-29
Turkish Airlines,PAR,IST,3h 40m,direct,economy,17:55,22:35,"AED 1,552",2024-07-01
Etihad Airways,NRT,CMN,22h 10m,1 stop,business,17:30,07:40+1,"AED 9,665 ",2024-05-30 
Qatar Airways,CMN,LAX,42h 35m,1 stop,business,20:50,07:25+2,"AED 6,580",2024-07-02
Qatar Airways,NRT,CMN,29h 10m,2 stops,economy,10:20,07:30+1,"AED 3,520",2024-05-31
British Airways,PAR,NRT,21h 15m,2 stops,economy,16:20,20:35+1,"AED 4,680",2024-07-08
Turkish Airlines,CMN,IST,4h 25m,direct,economy,10:15,16:40,"AED 2,178",2024-07-08
Delta,LAX,IST,18h 20m,2 stops,business,12:10,16:30+1,"AED 22,271",2024-07-04
Qatar Airways,NRT,CMN,37h 05m,2 stops,business,09:15,14:20+1,"AED 16,370",2024-07-01
Korean Air,NRT,IST,29h 55m,1 stop,economy,20:55,20:50+1,"AED 2,740",2024-05-31
Iberia,PAR,CMN,5h 40m,1 stop,business,07:30,12:10,"AED 2,457 ",2024-06-01 
Lufthansa,LAX,IST,16h 05m,1 stop,economy,14:55,17:00+1,"AED 4,524 ",2024-05-30 
Lufthansa,IST,LAX,20h 45m,1 stop,business,06:10,16:55,"AED 13,754",2024-07-05
Air Serbia,IST,PAR,5h 00m,1 stop,business,15:40,19:40,"AED 2,029 ",2024-06-14 
Royal Air Maroc,CMN,LAX,16h 16m,1 stop,economy,15:55,00:11+1,"AED 3,386 ",2024-06-13 
Vueling,PAR,NRT,30h 40m,2 stops,economy,07:15,20:55+1,"AED 1,896 ",2024-06-20 
Turkish Airlines,IST,CMN,4h 55m,direct,economy,11:55,14:50,"AED 2,166 ",2024-06-07 
Royal Air Maroc,CMN,IST,9h 00m,1 stop,economy,09:40,20:40,"AED 1,890 ",2024-06-24 
Vietnam Airlines,NRT,PAR,28h 00m,1 stop,economy,10:00,07:00+1,"AED 1,510",2024-07-02
Asiana Airlines,NRT,LAX,16h 00m,1 stop,business,16:00,16:00,"AED 6,340",2024-06-30
Qatar Airways,NRT,IST,26h 05m,1 stop,economy,22:30,18:35+1,"AED 2,840 ",2024-06-09 
LOT,LAX,IST,21h 05m,1 stop,business,16:35,23:40+1,"AED 14,980",2024-06-28
Egypt Air,NRT,IST,22h 30m,1 stop,economy,20:30,13:00+1,"AED 2,666 ",2024-06-02 
Cathay Pacific,NRT,LAX,20h 15m,1 stop,economy,18:20,22:35,"AED 4,790",2024-06-26
Alaska Airlines,LAX,NRT,13h 59m,1 stop,business,09:31,15:30+1,"AED 11,540",2024-06-26
Delta,LAX,PAR,13h 40m,1 stop,business,16:50,15:30+1,"AED 23,364 ",2024-06-24 
Delta,PAR,LAX,13h 35m,1 stop,business,10:15,14:50,"AED 20,830",2024-07-07
Delta,LAX,PAR,10h 55m,direct,business,15:20,11:15+1,"AED 23,623",2024-07-06
Air Serbia,PAR,IST,6h 00m,1 stop,economy,20:25,03:25+1,AED 675,2024-06-05
United Airlines,LAX,NRT,11h 15m,direct,business,11:25,14:40+1,"AED 16,320 ",2024-06-07 
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,15:10,17:15,"AED 1,611 ",2024-06-14 
Turkish Airlines,IST,NRT,11h 05m,direct,business,15:50,08:55+1,"AED 13,130 ",2024-06-17 
Turkish Airlines,CMN,NRT,21h 45m,2 stops,economy,16:45,22:30+1,"AED 4,270",2024-07-05
Asiana Airlines,IST,NRT,15h 00m,1 stop,economy,17:40,14:40+1,"AED 3,620",2024-07-03
KLM,NRT,PAR,17h 30m,1 stop,business,11:20,21:50,"AED 13,426 ",2024-06-05 
EVA Air,NRT,PAR,25h 30m,1 stop,economy,13:25,07:55+1,"AED 2,930",2024-07-01
KLM,IST,NRT,20h 45m,2 stops,economy,17:00,19:45+1,"AED 4,010 ",2024-06-24 
Turkish Airlines,IST,NRT,19h 45m,2 stops,business,15:25,17:10+1,"AED 10,910 ",2024-05-30 
American Airlines,LAX,NRT,16h 55m,1 stop,economy,07:35,16:30+1,"AED 4,940 ",2024-06-23 
WestJet,NRT,LAX,17h 35m,2 stops,business,18:30,20:05,"AED 10,560",2024-07-05
Multiple Airlines,LAX,IST,21h 35m,2 stops,business,09:25,17:00+1,"AED 17,489 ",2024-06-02 
Lufthansa,CMN,LAX,27h 05m,2 stops,business,01:15,20:20,"AED 8,280",2024-06-28
Qatar Airways,NRT,CMN,36h 00m,2 stops,business,10:20,14:20+1,"AED 12,520",2024-06-26
American Airlines,LAX,NRT,16h 55m,1 stop,economy,07:35,16:30+1,"AED 3,670",2024-07-06
Etihad Airways,NRT,PAR,24h 45m,2 stops,business,14:00,07:45+1,"AED 10,245",2024-07-03
LOT,NRT,PAR,18h 15m,1 stop,business,22:35,09:50+1,"AED 10,210 ",2024-06-24 
China Airlines,NRT,LAX,18h 50m,1 stop,business,17:55,20:45,"AED 12,230 ",2024-06-17 
Lufthansa,LAX,IST,16h 40m,1 stop,economy,18:40,21:20+1,"AED 3,827 ",2024-06-10 
Transavia,CMN,NRT,23h 10m,2 stops,economy,13:45,20:55+1,"AED 2,366 ",2024-06-24 
EVA Air,NRT,LAX,23h 30m,1 stop,business,13:25,20:55,"AED 10,220 ",2024-06-17 
Turkish Airlines,CMN,LAX,26h 55m,1 stop,economy,16:45,11:40+1,"AED 3,530",2024-07-05
American Airlines,LAX,NRT,16h 55m,1 stop,business,07:35,16:30+1,"AED 11,540 ",2024-06-25 
Delta,LAX,PAR,13h 40m,1 stop,business,17:05,15:45+1,"AED 26,484 ",2024-06-02 
Royal Air Maroc,PAR,CMN,3h 05m,direct,business,21:40,23:45,"AED 2,689",2024-07-07
Alaska Airlines,LAX,PAR,15h 49m,1 stop,economy,15:31,16:20+1,"AED 3,063 ",2024-05-30 
Alaska Airlines,LAX,NRT,17h 00m,1 stop,economy,07:00,16:00+1,"AED 3,047",2024-07-03
Turkish Airlines,CMN,NRT,32h 10m,1 stop,business,16:45,08:55+2,"AED 11,330",2024-07-07
JetBlue,LAX,PAR,19h 06m,1 stop,business,07:19,11:25+1,"AED 11,153",2024-07-06
Austrian Airlines,PAR,LAX,15h 00m,1 stop,business,07:05,13:05,"AED 20,168",2024-06-29
Delta,LAX,CMN,19h 05m,2 stops,economy,11:45,14:50+1,"AED 5,157 ",2024-06-17 
Asiana Airlines,NRT,IST,32h 50m,1 stop,business,13:20,16:10+1,"AED 6,170",2024-06-30
Qatar Airways,NRT,IST,24h 55m,2 stops,business,17:15,12:10+1,"AED 14,410 ",2024-06-09 
Finnair,NRT,PAR,17h 35m,1 stop,business,23:05,09:40+1,"AED 13,410 ",2024-06-14 
Turkish Airlines,IST,LAX,13h 40m,direct,economy,08:00,11:40,"AED 2,854 ",2024-06-10 
Air Serbia,PAR,IST,4h 45m,1 stop,economy,10:05,15:50,"AED 1,743 ",2024-06-10 
Cathay Pacific,NRT,CMN,34h 10m,2 stops,economy,18:30,20:40+1,"AED 3,834 ",2024-05-30 
Air Serbia,PAR,IST,4h 55m,1 stop,economy,10:05,16:00,AED 855,2024-06-25
Etihad Airways,IST,NRT,16h 15m,1 stop,business,14:45,13:00+1,"AED 12,055 ",2024-06-05 
TAP Portugal,LAX,PAR,21h 15m,2 stops,business,09:35,15:50+1,"AED 16,380 ",2024-06-19 
JAL,NRT,LAX,12h 56m,1 stop,business,18:10,15:06,"AED 14,448",2024-06-27
China Airlines,PAR,NRT,22h 00m,2 stops,economy,08:15,13:15+1,"AED 3,913",2024-06-26
United Airlines,NRT,LAX,13h 55m,1 stop,economy,17:05,15:00,"AED 2,200 ",2024-06-05 
Royal Air Maroc,PAR,CMN,3h 05m,direct,business,17:20,19:25,"AED 2,898 ",2024-06-12 
SWISS,NRT,PAR,19h 10m,1 stop,business,10:45,22:55,"AED 16,093 ",2024-06-04 
Etihad Airways,NRT,IST,18h 50m,1 stop,economy,17:30,06:20+1,"AED 2,865 ",2024-06-03 
Lufthansa,PAR,LAX,19h 50m,1 stop,business,06:05,16:55,"AED 13,465 ",2024-06-08 
Delta,PAR,LAX,16h 32m,1 stop,business,14:45,22:17,"AED 20,195",2024-07-05
Egypt Air,NRT,PAR,29h 05m,2 stops,business,20:30,18:35+1,"AED 14,853 ",2024-06-09 
Air France,CMN,LAX,21h 20m,2 stops,business,07:30,20:50,"AED 11,185 ",2024-06-13 
Air Algerie,PAR,IST,9h 20m,1 stop,business,14:00,00:20+1,"AED 3,016 ",2024-06-07 
Delta,LAX,IST,18h 20m,2 stops,business,12:10,16:30+1,"AED 26,034 ",2024-06-11 
Qatar Airways,PAR,NRT,23h 15m,2 stops,economy,12:40,18:55+1,"AED 4,260",2024-05-31
Multiple Airlines,LAX,IST,24h 20m,2 stops,business,11:00,21:20+1,"AED 16,852 ",2024-06-04 
Egypt Air,IST,CMN,14h 00m,1 stop,business,00:30,12:30,"AED 5,227",2024-07-06
United Airlines,IST,LAX,16h 50m,1 stop,business,06:10,13:00,"AED 12,370",2024-06-29
Etihad Airways,NRT,PAR,21h 15m,1 stop,economy,17:30,07:45+1,"AED 3,205 ",2024-06-12 
Delta,IST,LAX,22h 26m,2 stops,business,06:45,19:11,"AED 18,862",2024-05-31
Egypt Air,IST,CMN,11h 00m,1 stop,business,04:30,13:30,"AED 4,456",2024-07-04
Qatar Airways,CMN,NRT,25h 55m,2 stops,economy,20:50,06:45+2,"AED 4,700 ",2024-06-17 
KLM,NRT,CMN,28h 40m,2 stops,business,12:35,09:15+1,"AED 13,806",2024-07-04
Air Serbia,IST,PAR,5h 45m,1 stop,business,04:30,09:15,"AED 1,718",2024-06-27
Air Caraïbes,LAX,PAR,10h 50m,direct,economy,19:45,15:35+1,"AED 1,874 ",2024-06-12 
Air France,CMN,LAX,16h 35m,1 stop,business,07:30,16:05,"AED 11,178 ",2024-06-11 
Multiple Airlines,LAX,IST,20h 00m,2 stops,business,11:00,17:00+1,"AED 27,647 ",2024-06-11 
French Bee,PAR,LAX,11h 40m,direct,economy,14:50,17:30,"AED 2,030",2024-07-08
WestJet,NRT,LAX,19h 21m,1 stop,economy,18:30,21:51,"AED 4,020",2024-07-03
Egypt Air,CMN,IST,14h 25m,1 stop,business,01:10,17:35,"AED 4,127 ",2024-06-03 
British Airways,CMN,LAX,27h 11m,2 stops,economy,13:45,08:56+1,"AED 3,400",2024-07-04
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,18:00,20:05,"AED 1,182 ",2024-06-22 
Transavia France,PAR,IST,3h 50m,direct,economy,19:15,00:05+1,AED 917,2024-06-29
Lufthansa,PAR,IST,9h 15m,2 stops,business,06:45,17:00,"AED 2,810 ",2024-06-17 
Icelandair,PAR,LAX,18h 34m,2 stops,business,14:10,23:44,"AED 8,120 ",2024-06-13 
TAP Portugal,PAR,CMN,5h 15m,1 stop,business,11:55,16:10,"AED 2,340 ",2024-06-11 
Delta,LAX,PAR,10h 50m,direct,business,18:30,14:20+1,"AED 26,468 ",2024-06-09 
Iberia,PAR,CMN,5h 35m,1 stop,business,12:40,17:15,"AED 2,356 ",2024-06-24 
Royal Air Maroc,CMN,LAX,18h 55m,1 stop,economy,08:10,19:05,"AED 2,346",2024-07-03
Air France,CMN,LAX,16h 35m,1 stop,economy,07:30,16:05,"AED 6,060 ",2024-06-18 
Turkish Airlines,IST,LAX,13h 55m,direct,economy,13:35,17:30,"AED 4,037 ",2024-06-15 
Qatar Airways,CMN,NRT,23h 55m,2 stops,business,11:00,18:55+1,"AED 12,030",2024-07-01
TAP Portugal,PAR,LAX,22h 27m,2 stops,business,11:55,01:22+1,"AED 11,970",2024-06-26
Qatar Airways,NRT,CMN,29h 10m,2 stops,business,10:20,07:30+1,"AED 12,520",2024-07-02
LOT,NRT,PAR,18h 15m,1 stop,business,22:35,09:50+1,"AED 15,680 ",2024-06-01 
Air Canada,CMN,LAX,21h 10m,2 stops,business,08:50,22:00,"AED 8,150 ",2024-06-11 
Etihad Airways,NRT,CMN,30h 40m,2 stops,business,09:00,07:40+1,"AED 8,515 ",2024-06-20 
Delta,LAX,CMN,16h 00m,1 stop,economy,21:00,21:00+1,"AED 5,324 ",2024-06-21 
Air France,IST,LAX,16h 20m,1 stop,business,06:45,13:05,"AED 10,620 ",2024-06-15 
Lufthansa,PAR,LAX,16h 05m,1 stop,economy,09:45,16:50,"AED 3,907",2024-07-03
Delta,IST,LAX,16h 20m,1 stop,business,06:45,13:05,"AED 18,917 ",2024-06-16 
Egypt Air,IST,CMN,18h 55m,1 stop,business,06:50,23:45,"AED 5,741 ",2024-06-22 
United Airlines,IST,LAX,22h 48m,2 stops,business,11:30,00:18+1,"AED 9,830",2024-05-31
Qatar Airways,NRT,CMN,31h 30m,2 stops,business,14:50,14:20+1,"AED 19,210",2024-06-26
Turkish Airlines,IST,PAR,3h 45m,direct,economy,19:45,22:30,"AED 1,070",2024-06-26
Qatar Airways,CMN,NRT,33h 30m,2 stops,economy,14:10,07:40+2,"AED 3,770 ",2024-06-21 
Delta,LAX,PAR,11h 15m,direct,economy,16:50,13:05+1,"AED 5,665",2024-06-29
TAP Portugal,PAR,CMN,11h 10m,1 stop,business,06:00,16:10,"AED 1,930",2024-06-27
Aegean Airlines,IST,PAR,7h 35m,1 stop,business,10:40,17:15,"AED 2,920",2024-07-02
JetBlue,LAX,PAR,14h 35m,1 stop,business,07:20,06:55+1,"AED 14,715 ",2024-06-16 
Turkish Airlines,IST,LAX,13h 40m,direct,business,08:00,11:40,"AED 12,620 ",2024-06-17 
Lufthansa,LAX,IST,16h 40m,1 stop,business,18:40,21:20+1,"AED 22,600",2024-07-01
Royal Air Maroc,PAR,CMN,3h 10m,direct,economy,13:05,15:15,"AED 1,074 ",2024-06-12 
Air France,CMN,LAX,16h 15m,1 stop,economy,10:20,18:35,"AED 6,030 ",2024-06-14 
Egypt Air,IST,NRT,31h 00m,1 stop,business,04:30,17:30+1,"AED 5,949 ",2024-06-22 
ITA Airways,CMN,PAR,8h 10m,2 stops,business,12:35,21:45,"AED 3,430 ",2024-06-12 
Turkish Airlines,IST,PAR,3h 50m,direct,economy,14:05,16:55,AED 793,2024-06-12
Lufthansa,CMN,PAR,6h 20m,1 stop,business,01:15,08:35,"AED 3,976 ",2024-05-30 
Etihad Airways,NRT,IST,25h 30m,2 stops,economy,17:30,13:00+1,"AED 3,345",2024-06-28
Ajet,IST,LAX,20h 30m,1 stop,economy,08:35,19:05,"AED 1,866 ",2024-06-03 
Multiple Airlines,PAR,LAX,20h 14m,2 stops,business,07:25,18:39,"AED 13,704 ",2024-06-05 
Air Canada,LAX,NRT,22h 05m,2 stops,business,06:00,20:05+1,"AED 11,890 ",2024-06-18 
Air Canada,LAX,NRT,16h 50m,1 stop,economy,06:00,14:50+1,"AED 6,190 ",2024-06-11 
Royal Air Maroc,CMN,LAX,17h 18m,1 stop,business,16:00,01:18+1,"AED 15,003",2024-05-31
United Airlines,NRT,LAX,10h 25m,direct,business,17:00,11:25,"AED 13,040",2024-07-04
Iberia,PAR,CMN,5h 40m,1 stop,business,07:30,12:10,"AED 2,930 ",2024-06-05 
Turkish Airlines,IST,CMN,4h 55m,direct,business,11:55,14:50,"AED 4,980",2024-06-28
Lufthansa,PAR,LAX,14h 25m,1 stop,economy,11:30,16:55,"AED 3,907",2024-06-29
Air Caraïbes,PAR,LAX,11h 40m,direct,economy,14:50,17:30,"AED 1,564 ",2024-06-05 
Multiple Airlines,LAX,IST,19h 50m,2 stops,business,11:10,17:00+1,"AED 17,182 ",2024-06-20 
Transavia France,IST,PAR,3h 50m,direct,economy,06:45,09:35,AED 379,2024-07-03
Air Arabia Maroc,IST,CMN,5h 00m,direct,economy,01:30,04:30,"AED 1,034",2024-07-08
Air Canada,IST,LAX,22h 30m,2 stops,economy,10:20,22:50,"AED 4,940",2024-07-07
French Bee,LAX,PAR,10h 50m,direct,economy,19:45,15:35+1,"AED 1,140",2024-07-07
French Bee,LAX,PAR,10h 50m,direct,economy,19:45,15:35+1,"AED 1,540 ",2024-06-09 
Aer Lingus,PAR,LAX,15h 20m,1 stop,business,11:30,17:50,"AED 12,641 ",2024-05-30 
United Airlines,IST,LAX,29h 09m,2 stops,business,20:20,15:29+1,"AED 8,020 ",2024-06-11 
Royal Air Maroc,PAR,CMN,3h 05m,direct,business,09:15,11:20,"AED 2,575 ",2024-06-01 
Royal Air Maroc,IST,CMN,4h 55m,direct,business,11:55,14:50,"AED 7,973",2024-07-03
Uzbekistan Airways,LAX,IST,13h 10m,direct,economy,18:50,18:00+1,"AED 5,499 ",2024-06-14 
Lufthansa,PAR,IST,5h 30m,1 stop,economy,10:30,17:00,"AED 2,278 ",2024-06-23 
Alaska Airlines,LAX,NRT,15h 30m,1 stop,business,08:00,15:30+1,"AED 11,540",2024-07-04
Air France,PAR,NRT,13h 50m,direct,business,12:20,09:10+1,"AED 13,640 ",2024-06-25 
Air France,CMN,PAR,3h 05m,direct,business,10:20,14:25,"AED 3,400 ",2024-06-18 
Air Algerie,PAR,IST,7h 55m,1 stop,business,07:40,16:35,"AED 3,975",2024-07-08
United Airlines,IST,LAX,23h 17m,2 stops,business,11:30,00:47+1,"AED 8,030 ",2024-06-05 
Aer Lingus,PAR,LAX,16h 00m,1 stop,business,11:30,18:30,"AED 11,528 ",2024-06-24 
Turkish Airlines,IST,PAR,3h 40m,direct,economy,06:50,09:30,"AED 1,836 ",2024-06-15 
China Eastern,NRT,PAR,24h 30m,1 stop,economy,13:00,06:30+1,"AED 2,339",2024-07-03
French Bee,PAR,LAX,11h 40m,direct,economy,14:50,17:30,"AED 1,010 ",2024-06-14 
JetBlue,LAX,PAR,14h 35m,1 stop,economy,07:20,06:55+1,"AED 3,643",2024-06-30
Asiana Airlines,NRT,LAX,23h 30m,1 stop,economy,09:00,16:30,"AED 3,100",2024-07-07
Air France,IST,LAX,21h 55m,1 stop,business,06:45,18:40,"AED 9,630 ",2024-05-30 
Cathay Pacific,NRT,PAR,20h 05m,1 stop,economy,18:30,07:35+1,"AED 2,910 ",2024-06-14 
Transavia France,PAR,CMN,3h 15m,direct,economy,14:40,16:55,"AED 1,077 ",2024-06-14 
Delta,LAX,IST,16h 50m,1 stop,economy,13:40,16:30+1,"AED 5,633",2024-06-28
Hawaiian Airlines,LAX,NRT,15h 10m,1 stop,economy,09:50,17:00+1,"AED 4,644 ",2024-06-15 
China Eastern,NRT,CMN,27h 50m,3 stops,business,16:55,12:45+1,"AED 10,145 ",2024-06-19 
Qatar Airways,NRT,CMN,41h 00m,2 stops,business,22:30,07:30+2,"AED 12,530",2024-07-07
Etihad Airways,NRT,IST,27h 20m,2 stops,business,09:00,06:20+1,"AED 9,415",2024-07-01
Qatar Airways,NRT,CMN,23h 50m,1 stop,economy,22:30,14:20+1,"AED 3,540 ",2024-06-23 
SAUDIA,IST,LAX,22h 45m,1 stop,economy,02:45,15:30,"AED 7,550",2024-07-06
United Airlines,LAX,NRT,14h 50m,1 stop,business,08:00,14:50+1,"AED 16,320 ",2024-06-18 
United Airlines,NRT,LAX,17h 05m,1 stop,economy,17:05,18:10,"AED 2,130",2024-05-31
Air Serbia,IST,PAR,25h 55m,1 stop,business,18:45,19:40+1,"AED 1,964 ",2024-06-02 
Air France,PAR,NRT,13h 50m,direct,economy,12:20,09:10+1,"AED 5,580",2024-05-31
Emirates,NRT,IST,25h 25m,1 stop,business,22:30,17:55+1,"AED 14,090 ",2024-06-01 
Etihad Airways,NRT,IST,23h 00m,2 stops,business,13:20,06:20+1,"AED 9,415 ",2024-06-16 
Delta,PAR,LAX,11h 35m,direct,business,13:30,16:05,"AED 20,249",2024-07-02
China Airlines,NRT,LAX,18h 50m,1 stop,economy,17:55,20:45,"AED 3,214 ",2024-06-19 
LEVEL,PAR,LAX,17h 10m,1 stop,economy,10:00,18:10,"AED 4,036",2024-07-05
Lufthansa,IST,LAX,16h 50m,1 stop,economy,06:10,13:00,"AED 4,758",2024-06-30
TAP Portugal,PAR,CMN,35h 20m,1 stop,business,06:00,16:20+1,"AED 2,180",2024-07-05
Air France,CMN,PAR,3h 05m,direct,business,07:30,11:35,"AED 3,670 ",2024-06-04 
Etihad Airways,CMN,IST,19h 05m,1 stop,economy,09:15,06:20+1,"AED 1,255 ",2024-06-19 
Air France,CMN,NRT,31h 15m,2 stops,business,18:20,09:35+2,"AED 12,460",2024-06-29
Asiana Airlines,IST,NRT,15h 40m,1 stop,economy,17:00,14:40+1,"AED 5,351 ",2024-06-04 
SWISS,PAR,LAX,15h 30m,1 stop,business,09:45,16:15,"AED 20,529 ",2024-06-01 
Multiple Airlines,PAR,LAX,21h 42m,2 stops,economy,07:25,20:07,"AED 2,231 ",2024-06-11 
Korean Air,NRT,IST,16h 20m,1 stop,business,09:20,19:40,"AED 7,970",2024-07-07
Iberia,CMN,PAR,6h 40m,1 stop,business,12:45,20:25,"AED 3,430",2024-05-31
TAP Portugal,PAR,CMN,5h 25m,1 stop,economy,11:55,16:20,AED 976,2024-06-01
Air Canada,CMN,LAX,19h 00m,1 stop,business,08:50,19:50,"AED 8,747 ",2024-06-01 
Etihad Airways,NRT,IST,18h 50m,1 stop,economy,17:30,06:20+1,"AED 3,695 ",2024-06-01 
Delta,LAX,CMN,17h 25m,2 stops,economy,13:25,14:50+1,"AED 6,142",2024-06-28
Asiana Airlines,IST,NRT,15h 45m,1 stop,economy,16:55,14:40+1,"AED 5,035",2024-07-02
JetBlue,PAR,LAX,16h 35m,1 stop,economy,13:25,21:00,"AED 2,455",2024-06-27
Delta,PAR,LAX,11h 40m,direct,business,08:45,11:25,"AED 20,807 ",2024-06-24 
ANA,LAX,NRT,11h 15m,direct,economy,11:25,14:40+1,"AED 4,950",2024-06-30
Air France,CMN,PAR,3h 05m,direct,business,07:30,11:35,"AED 3,400 ",2024-06-19 
