Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
Cathay Pacific,NRT,PAR,20h 05m,1 stop,economy,18:30,07:35+1,"AED 3,107 ",2024-06-15 
Cathay Pacific,NRT,PAR,23h 45m,1 stop,economy,14:50,07:35+1,"AED 3,190 ",2024-06-17 
Vietnam Airlines,NRT,PAR,28h 00m,1 stop,economy,10:00,07:00+1,"AED 1,510",2024-07-07
Royal Air Maroc,CMN,PAR,2h 50m,direct,economy,08:10,12:00,AED 562,2024-07-04
Turkish Airlines,LAX,IST,13h 10m,direct,business,13:35,12:45+1,"AED 25,830 ",2024-06-02 
JAL,LAX,NRT,11h 05m,direct,economy,13:35,16:40+1,"AED 3,818",2024-07-08
Air France,PAR,LAX,12h 00m,direct,business,15:35,18:35,"AED 20,270 ",2024-06-14 
ANA,NRT,LAX,10h 00m,direct,economy,17:00,11:00,"AED 6,630",2024-06-30
Air France,CMN,PAR,3h 00m,direct,economy,18:20,22:20,"AED 1,022 ",2024-06-13 
Qatar Airways,NRT,CMN,26h 45m,2 stops,economy,22:30,17:15+1,"AED 4,530",2024-06-30
Turkish Airlines,IST,NRT,22h 15m,2 stops,economy,15:30,19:45+1,"AED 3,990 ",2024-06-18 
Lufthansa,IST,PAR,8h 25m,1 stop,business,14:00,21:25,"AED 1,830",2024-06-26
Asiana Airlines,IST,NRT,18h 35m,1 stop,economy,17:40,18:15+1,"AED 3,620 ",2024-06-24 
Qatar Airways,NRT,CMN,36h 00m,2 stops,business,10:20,14:20+1,"AED 12,520",2024-06-27
Cathay Pacific,NRT,PAR,20h 15m,1 stop,economy,18:20,07:35+1,"AED 3,190",2024-07-02
Etihad Airways,NRT,IST,18h 50m,1 stop,business,17:30,06:20+1,"AED 7,435 ",2024-06-16 
Turkish Airlines,NRT,PAR,18h 55m,1 stop,economy,10:35,22:30,"AED 2,670 ",2024-06-17 
Aer Lingus,PAR,LAX,14h 10m,1 stop,business,13:20,18:30,"AED 10,822 ",2024-06-25 
Egypt Air,CMN,IST,9h 50m,1 stop,business,00:45,12:35,"AED 5,549 ",2024-06-08 
Turkish Airlines,CMN,LAX,26h 55m,1 stop,business,16:45,11:40+1,"AED 9,580",2024-06-30
Delta,LAX,CMN,19h 40m,2 stops,business,11:10,14:50+1,"AED 15,609 ",2024-06-18 
Korean Air,NRT,PAR,31h 40m,1 stop,business,17:20,18:00+1,"AED 7,970 ",2024-06-13 
TAP Portugal,PAR,CMN,5h 35m,1 stop,economy,06:00,10:35,"AED 1,012",2024-05-31
WestJet,NRT,LAX,33h 13m,1 stop,business,18:30,11:43+1,"AED 6,990",2024-07-01
Turkish Airlines,CMN,IST,4h 50m,direct,economy,09:50,16:40,"AED 2,178 ",2024-06-11 
SAUDIA,IST,LAX,27h 20m,1 stop,economy,22:10,15:30+1,"AED 5,000 ",2024-06-02 
Air Caraïbes,LAX,PAR,10h 50m,direct,economy,19:45,15:35+1,"AED 2,094 ",2024-06-08 
Qatar Airways,PAR,NRT,23h 15m,2 stops,economy,12:40,18:55+1,"AED 3,940 ",2024-06-10 
Royal Air Maroc,CMN,NRT,24h 25m,2 stops,economy,12:30,20:55+1,"AED 2,659 ",2024-06-24 
Transavia France,PAR,CMN,3h 15m,direct,economy,08:30,10:45,"AED 1,123",2024-07-03
Egypt Air,PAR,NRT,18h 30m,1 stop,business,16:00,17:30+1,"AED 8,287 ",2024-06-01 
Lufthansa,PAR,LAX,14h 25m,1 stop,business,11:30,16:55,"AED 13,465 ",2024-06-08 
Royal Air Maroc,IST,CMN,4h 50m,direct,business,18:10,21:00,"AED 6,192",2024-07-03
Qatar Airways,NRT,IST,19h 15m,1 stop,business,22:30,11:45+1,"AED 8,500 ",2024-06-15 
Air Canada,CMN,LAX,19h 35m,2 stops,business,08:50,20:25,"AED 8,140 ",2024-06-07 
Delta,PAR,LAX,12h 00m,direct,business,15:35,18:35,"AED 20,180",2024-06-29
Delta,LAX,PAR,12h 27m,1 stop,business,13:28,10:55+1,"AED 26,484 ",2024-05-30 
Qatar Airways,NRT,PAR,22h 55m,1 stop,business,22:30,14:25+1,"AED 10,940 ",2024-06-20 
Multiple Airlines,IST,LAX,24h 29m,2 stops,economy,06:10,20:39,"AED 4,744",2024-07-03
SAUDIA,CMN,IST,13h 20m,1 stop,business,19:10,10:30+1,"AED 5,104",2024-06-27
United Airlines,IST,LAX,35h 29m,3 stops,economy,14:00,15:29+1,"AED 3,150 ",2024-06-24 
Qatar Airways,NRT,CMN,35h 40m,2 stops,business,10:40,14:20+1,"AED 14,360",2024-05-31
Cathay Pacific,NRT,PAR,21h 20m,1 stop,economy,17:15,07:35+1,"AED 3,190",2024-06-27
TAP Portugal,PAR,CMN,18h 55m,1 stop,business,16:40,10:35+1,"AED 3,010",2024-06-27
Korean Air,NRT,IST,16h 20m,1 stop,economy,09:20,19:40,"AED 3,069 ",2024-06-10 
China Airlines,NRT,LAX,18h 50m,1 stop,economy,17:55,20:45,"AED 2,240",2024-05-31
Emirates,IST,NRT,16h 10m,1 stop,economy,19:25,17:35+1,"AED 4,704 ",2024-06-21 
United Airlines,NRT,LAX,13h 55m,1 stop,economy,17:05,15:00,"AED 2,200 ",2024-06-03 
Multiple Airlines,LAX,IST,21h 20m,2 stops,business,09:40,17:00+1,"AED 17,182 ",2024-06-23 
Qatar Airways,CMN,NRT,25h 55m,2 stops,economy,20:50,06:45+2,"AED 4,760 ",2024-06-22 
Korean Air,NRT,PAR,28h 35m,1 stop,business,20:55,18:30+1,"AED 12,880 ",2024-06-01 
Qatar Airways,CMN,NRT,25h 30m,2 stops,business,20:50,06:20+2,"AED 13,125 ",2024-06-15 
Egypt Air,CMN,IST,15h 25m,1 stop,business,13:30,06:55+1,"AED 7,260 ",2024-06-04 
Air France,CMN,NRT,28h 15m,2 stops,business,07:30,19:45+1,"AED 8,770",2024-07-06
JAL,LAX,NRT,11h 05m,direct,economy,13:35,16:40+1,"AED 3,650",2024-07-02
Turkish Airlines,IST,PAR,3h 50m,direct,economy,14:05,16:55,AED 970,2024-07-05
