Airline,stops,class,depature time,arrival time,Price,Days Left,Day of Week,Duration_log,Source_CMN,Source_IST,Source_LAX,Source_NRT,Source_PAR,Destination_CMN,Destination_IST,Destination_LAX,Destination_NRT,Destination_PAR
77,1,1,0,1,6.391414474528037,9,3,6.745236349484363,True,False,False,False,False,False,True,False,False,False
35,1,0,0,0,8.09162741160107,14,1,7.034387929915503,False,False,False,True,False,False,False,True,False,False
8,2,0,3,0,7.707422302919755,9,3,7.2254814727822945,True,False,False,False,False,False,False,True,False,False
97,1,0,0,3,6.670347982403979,35,1,6.756932389247553,False,True,False,False,False,True,False,False,False,False
12,0,1,0,2,5.664209699536378,16,3,5.19295685089021,True,False,False,False,False,False,False,False,False,True
98,0,1,2,2,7.016214987177636,17,4,6.684611727667927,False,False,True,False,False,False,True,False,False,False
28,1,1,2,4,6.969602682308217,31,4,7.154615356913663,False,False,False,True,False,False,False,False,False,True
65,2,1,3,2,6.89588510641165,29,2,7.269616749608169,True,False,False,False,False,False,False,True,False,False
75,0,1,2,5,5.253110773709958,5,6,5.736572297479192,False,True,False,False,False,True,False,False,False,False
77,2,0,5,5,7.986266895943244,36,2,7.776954403322442,True,False,False,False,False,False,False,False,True,False
98,0,1,0,0,5.47058858748849,29,2,5.438079308923196,False,True,False,False,False,False,False,False,False,True
77,2,1,0,4,7.004518947414445,35,1,7.605890001053122,True,False,False,False,False,False,False,False,True,False
78,1,1,0,0,6.90404841705081,31,4,7.5678626054638825,True,False,False,False,False,False,False,True,False,False
71,0,1,0,2,5.938459261784084,27,0,6.565264970035361,False,False,False,False,True,False,False,True,False,False
55,1,1,0,5,6.496548720244859,30,3,7.068172000388042,False,False,False,False,True,False,False,True,False,False
12,0,0,4,4,6.822197390620491,36,2,5.220355825078324,True,False,False,False,False,False,False,False,False,True
34,1,1,2,5,6.999112200401997,40,6,7.090076835776092,False,False,True,False,False,True,False,False,False,False
77,1,1,5,4,6.703678790385153,11,5,7.051855622955894,False,False,False,True,False,False,True,False,False,False
62,1,1,5,4,5.821565510312585,34,0,6.733401891837359,False,True,False,False,False,True,False,False,False,False
78,0,1,0,2,5.4108868351515325,6,0,5.1647859739235145,True,False,False,False,False,False,False,False,False,True
78,0,1,2,5,5.993836731253038,30,3,5.66988092298052,False,True,False,False,False,True,False,False,False,False
12,0,1,2,5,5.972052343586521,7,1,5.19295685089021,True,False,False,False,False,False,False,False,False,True
78,2,1,2,0,6.869586012864634,7,1,7.632885505395133,True,False,False,False,False,False,False,False,True,False
39,1,0,2,1,7.713713153571908,11,5,6.980075940561763,False,False,False,True,False,False,True,False,False,False
15,1,1,0,2,5.4240685718535975,10,4,5.703782474656201,False,True,False,False,False,False,False,False,False,True
98,2,0,0,2,7.988101758843355,35,1,7.200424892944957,False,True,False,False,False,False,False,False,True,False
34,1,0,4,4,8.874962736060974,5,6,6.646390514847729,False,False,True,False,False,False,False,False,False,True
30,2,0,4,0,7.699257997532367,27,0,7.675546002537848,False,False,False,True,False,True,False,False,False,False
98,1,0,4,4,7.912935622857694,33,6,7.749322464660356,True,False,False,False,False,False,False,False,True,False
16,0,1,0,4,6.803793784238018,17,4,6.453624998892692,False,False,True,False,False,False,False,False,False,True
83,1,1,1,0,6.560068392593327,12,6,6.917705609835305,False,True,False,False,False,False,False,True,False,False
0,0,1,4,0,7.189695900804804,39,5,6.51471269087253,False,False,True,False,False,False,False,False,True,False
1,1,1,0,5,5.136386499401816,31,4,5.966146739123692,False,True,False,False,False,False,False,False,False,True
12,0,0,0,0,6.821608982248115,15,2,5.247024072160486,False,False,False,False,True,True,False,False,False,False
21,1,1,4,4,6.613652638727434,31,4,6.917705609835305,False,False,False,True,False,False,False,True,False,False
98,0,1,0,2,6.761572768804055,22,2,6.727431724850855,False,True,False,False,False,False,False,True,False,False
98,0,1,0,2,6.909453835617718,17,4,6.727431724850855,False,True,False,False,False,False,False,True,False,False
51,2,0,4,4,8.259380552566734,9,3,7.492760300922379,False,False,False,True,False,False,False,False,False,True
34,1,1,4,0,7.451746783884585,38,4,6.902742737158593,True,False,False,False,False,False,False,True,False,False
77,1,1,5,0,6.3638898011379466,35,1,6.684611727667927,True,False,False,False,False,False,True,False,False,False
34,2,1,1,4,7.157197956630247,30,3,7.02108396428914,False,False,True,False,False,True,False,False,False,False
34,2,0,4,0,8.70206648974676,28,1,7.034387929915503,False,False,True,False,False,False,True,False,False,False
39,2,1,0,4,6.980959271240553,21,1,7.3395376954076745,False,False,False,True,False,True,False,False,False,False
99,2,1,2,2,7.490026763196146,33,6,6.915723448631314,False,False,False,True,False,False,False,True,False,False
69,2,1,4,3,6.829815358900303,15,2,7.475905969367397,False,False,True,False,False,True,False,False,False,False
65,1,0,1,0,8.219751649896018,19,6,7.126890808898808,False,True,False,False,False,False,False,True,False,False
8,2,0,4,5,8.114504226254825,13,0,7.2115567333138015,False,True,False,False,False,False,False,True,False,False
77,2,1,4,4,7.102499355774649,3,4,7.4673710669175595,False,False,False,True,False,True,False,False,False,False
35,1,0,0,5,8.09162741160107,3,4,7.251344983372214,False,False,False,True,False,False,False,True,False,False
77,2,0,2,0,8.266344369009806,12,6,7.258412150595307,False,False,False,True,False,False,True,False,False,False
35,1,0,0,4,7.5903974748969345,35,1,7.333023014386481,False,False,False,True,False,False,False,False,False,True
110,0,0,4,0,7.518428047670957,40,6,6.51471269087253,False,False,True,False,False,False,False,False,True,False
12,2,0,4,2,8.50039285273789,6,0,7.329749689041512,True,False,False,False,False,False,False,False,True,False
8,2,1,3,0,6.987213200316853,38,4,7.22983877815125,True,False,False,False,False,False,False,True,False,False
10,1,0,0,2,7.6079773732140445,22,2,7.632885505395133,False,False,False,True,False,False,False,False,False,True
12,0,0,4,0,6.822197390620491,38,4,5.220355825078324,True,False,False,False,False,False,False,False,False,True
1,1,0,4,2,6.830982220176224,19,6,6.12029741895095,False,True,False,False,False,False,False,False,False,True
12,2,0,4,5,6.608931366111512,16,3,6.733401891837359,True,False,False,False,False,False,True,False,False,False
12,0,1,4,4,5.927725706140976,41,0,5.220355825078324,False,False,False,False,True,True,False,False,False,False
34,2,1,1,4,7.117935163904488,36,2,7.051855622955894,False,False,True,False,False,True,False,False,False,False
26,1,1,5,3,7.064220421230864,7,1,6.927557906278317,False,False,True,False,False,False,True,False,False,False
34,1,0,0,0,8.243319345095315,1,2,6.835184586147301,False,False,True,False,False,True,False,False,False,False
21,1,0,2,5,8.118534864520994,32,5,7.154615356913663,False,True,False,False,False,False,False,False,True,False
37,1,1,2,2,6.997879306644546,7,1,6.877296071497429,False,True,False,False,False,False,False,False,True,False
36,1,0,1,0,6.916972668031746,25,5,6.396929655216146,False,True,False,False,False,True,False,False,False,False
65,1,1,2,2,6.851184927493743,32,5,6.739336627357174,False,False,True,False,False,False,False,False,False,True
77,2,1,5,4,7.019117746835598,19,6,7.383989457978509,True,False,False,False,False,False,False,False,True,False
39,2,0,4,4,8.237836367710447,28,1,7.517520850603031,False,False,False,True,False,True,False,False,False,False
65,1,1,0,5,6.94050316544194,8,2,7.110696122978827,False,False,True,False,False,False,True,False,False,False
98,0,0,0,2,7.809987653605252,41,0,6.727431724850855,False,True,False,False,False,False,False,True,False,False
98,0,0,4,0,6.977188053697474,39,5,5.393627546352362,False,False,False,False,True,False,True,False,False,False
4,1,0,0,3,6.88461970357998,27,0,6.152732694704104,False,False,False,False,True,False,True,False,False,False
50,2,1,0,5,6.5372566553074245,27,0,7.286191714702382,True,False,False,False,False,False,False,False,True,False
12,1,0,2,4,7.7708983666454,39,5,7.52294091807237,True,False,False,False,False,False,False,False,True,False
65,1,0,3,0,7.62775371619276,9,3,7.258412150595307,True,False,False,False,False,False,False,True,False,False
99,3,0,4,5,7.681606486957045,35,1,7.348587530927593,False,True,False,False,False,False,False,True,False,False
12,1,0,4,5,8.01075791595154,7,1,7.060476365999801,True,False,False,False,False,False,False,True,False,False
36,1,0,3,2,7.074099881252951,15,2,6.762729506931879,True,False,False,False,False,False,True,False,False,False
104,1,1,4,2,5.279593157549757,5,6,6.09807428216624,False,False,False,False,True,False,True,False,False,False
34,2,0,4,0,8.742444918964509,33,6,7.034387929915503,False,False,True,False,False,False,True,False,False,False
34,0,1,5,0,7.613458303985874,3,4,6.4692503167957724,False,False,True,False,False,False,False,False,False,True
78,0,1,4,0,4.9951154824382185,11,5,5.135798437050262,True,False,False,False,False,False,False,False,False,True
77,2,1,4,4,6.967061384879544,11,5,7.4673710669175595,False,False,False,True,False,True,False,False,False,False
91,1,0,4,5,6.30645775205207,6,0,6.152732694704104,True,False,False,False,False,False,False,False,False,True
37,1,1,2,2,7.1468351695947,24,4,6.877296071497429,False,True,False,False,False,False,False,False,True,False
12,0,0,4,4,6.906754778648554,6,0,5.220355825078324,True,False,False,False,False,False,False,False,False,True
77,1,0,5,0,7.714677473800927,7,1,7.265429723253953,False,False,False,True,False,False,False,False,False,True
34,1,1,0,0,7.552583684251453,9,3,6.807934943699926,False,False,True,False,False,True,False,False,False,False
78,1,0,4,2,7.812175838285805,26,6,7.764296006450518,True,False,False,False,False,False,False,True,False,False
77,2,0,0,2,8.34761410343176,9,3,7.200424892944957,False,True,False,False,False,False,False,False,True,False
39,1,1,2,0,6.69202170584294,24,4,7.346010209913293,False,False,False,True,False,False,True,False,False,False
75,0,1,2,5,4.95215836433728,9,3,5.3230099791384085,False,False,False,False,True,False,True,False,False,False
28,2,1,2,0,7.13399802283402,34,0,7.461640392208575,False,False,False,True,False,True,False,False,False,False
34,2,0,0,0,8.346269629974651,21,1,7.029972911706386,False,False,True,False,False,True,False,False,False,False
27,2,0,4,0,8.628555659269699,2,3,6.951772164398911,False,False,False,False,True,False,False,True,False,False
78,2,1,3,0,7.112449686627817,31,4,7.358830898342354,True,False,False,False,False,False,False,False,True,False
98,0,0,2,5,6.997138840116823,37,3,5.41610040220442,False,True,False,False,False,False,False,False,False,True
77,2,0,5,2,7.996317231796746,28,1,7.711996507047669,True,False,False,False,False,False,False,False,True,False
